timestamp,city,PM2.5,PM10,NO2,CO,SO2,O3,Temperature,Humidity,AQI
1773849600,Visakhapatnam,16.275,20.525,1.6,273.972,0.69,32.27,25,60,32
1773853200,Visakhapatnam,16.425,20.8,1.44,275.568,0.59,31.98,25,60,32
1773856800,Visakhapatnam,16.25,20.475,1.24,273.936,0.48,31.97,25,60,32
1773860400,Visakhapatnam,15.95,19.85,1.05,270.552,0.37,31.91,25,60,32
1773864000,Visakhapatnam,15.95,19.85,0.93,269.808,0.31,31.83,25,60,32
1773867600,Visakhapatnam,16.125,20.2,0.92,271.02,0.32,31.84,25,60,32
1773871200,Visakhapatnam,16.725,20.95,1.06,276.252,0.38,31.68,25,60,32
1773874800,Visakhapatnam,17.6,21.924999999999997,1.19,283.404,0.42,31.25,25,60,31
1773878400,Visakhapatnam,18.675,22.975,1.33,291.264,0.48,30.86,25,60,32
1773882000,Visakhapatnam,19.7,24.025,1.44,301.188,0.56,30.39,25,60,33
1773885600,Visakhapatnam,20.6,25.65,1.22,312.192,0.64,30.49,25,60,35
1773889200,Visakhapatnam,21.05,26.35,1.05,318.84,0.74,31.3,25,60,35
1773892800,Visakhapatnam,16.35,19.0,0.97,277.056,1.25,34.33,25,60,34
1773896400,Visakhapatnam,15.125,17.4,0.65,272.7,0.88,35.84,25,60,36
1773900000,Visakhapatnam,14.75,16.85,0.52,273.70799999999997,0.74,36.42,25,60,36
1773903600,Visakhapatnam,14.600000000000001,16.525,0.44,276.024,0.68,36.34,25,60,36
1773907200,Visakhapatnam,14.7,16.725,0.38,279.71999999999997,0.65,36.34,25,60,36
1773910800,Visakhapatnam,14.925,17.125,0.35,282.912,0.67,36.8,25,60,37
1773914400,Visakhapatnam,15.125,17.375,0.37,285.31199999999995,0.73,37.81,25,60,38
1773918000,Visakhapatnam,15.375,17.65,0.45,288.96,0.79,38.28,25,60,38
1773921600,Visakhapatnam,15.725,17.9,0.55,294.444,0.78,38.0,25,60,38
1773925200,Visakhapatnam,16.375,18.625,0.72,305.16,0.73,37.16,25,60,37
1773928800,Visakhapatnam,17.175,19.8,0.83,317.472,0.69,36.35,25,60,36
1773932400,Visakhapatnam,17.975,20.9,0.87,329.352,0.66,35.95,25,60,36
1773936000,Visakhapatnam,18.65,21.775,0.84,339.588,0.61,35.9,25,60,36
1773939600,Visakhapatnam,19.375,22.725,0.85,349.86,0.56,36.02,25,60,36
1773943200,Visakhapatnam,19.85,23.275,0.87,358.008,0.52,36.34,25,60,36
1773946800,Visakhapatnam,20.15,23.5,0.86,364.932,0.48,36.69,25,60,37
1773950400,Visakhapatnam,20.375,23.625,0.85,370.332,0.48,37.04,25,60,37
1773954000,Visakhapatnam,20.6,23.775,0.83,375.444,0.49,37.36,25,60,37
1773957600,Visakhapatnam,21.0,24.275,0.89,381.144,0.53,37.54,25,60,38
1773961200,Visakhapatnam,21.575,25.049999999999997,1.02,387.288,0.61,37.47,25,60,37
1773964800,Visakhapatnam,22.275,26.0,1.2,393.576,0.72,37.51,25,60,38
1773968400,Visakhapatnam,23.075000000000003,27.25,1.43,402.0,0.84,37.56,25,60,38
1773972000,Visakhapatnam,24.225,29.5,1.38,412.96799999999996,0.95,37.92,25,60,40
1773975600,Visakhapatnam,25.325,31.325,1.16,421.392,1.12,39.39,25,60,42
1773979200,Visakhapatnam,23.3,26.95,1.09,395.268,1.69,44.43,25,60,44
1773982800,Visakhapatnam,23.125,26.375,0.88,391.296,1.58,48.1,25,60,48
1773986400,Visakhapatnam,23.725,26.8,0.64,387.9,1.44,51.18,25,60,51
1773990000,Visakhapatnam,23.700000000000003,26.599999999999998,0.47,384.132,1.27,51.9,25,60,52
1773993600,Visakhapatnam,22.95,25.825,0.45,379.572,1.15,50.25,25,60,38
1773997200,Visakhapatnam,22.025,24.975,0.5,376.296,1.06,47.62,25,60,48
1774000800,Visakhapatnam,20.925,23.95,0.57,372.72,0.98,45.07,25,60,45
1774004400,Visakhapatnam,19.9,22.85,0.65,367.73999999999995,0.95,43.33,25,60,43
1774008000,Visakhapatnam,19.175,22.15,0.82,362.76,0.94,41.58,25,60,42
1774011600,Visakhapatnam,19.200000000000003,22.725,1.21,365.256,0.89,38.93,25,60,39
1774015200,Visakhapatnam,20.25,25.075000000000003,1.61,375.23999999999995,0.91,36.41,25,60,36
1774018800,Visakhapatnam,21.5,27.6,1.89,384.55199999999996,1.0,34.8,25,60,37
1774022400,Visakhapatnam,22.525,29.575,2.01,389.388,1.08,33.66,25,60,38
1774026000,Visakhapatnam,23.35,31.099999999999998,2.03,392.712,1.09,32.9,25,60,38
1774029600,Visakhapatnam,23.75,31.875,2.0,393.63599999999997,1.05,32.31,25,60,40
1774033200,Visakhapatnam,23.799999999999997,31.95,1.89,390.39599999999996,0.99,31.85,25,60,40
1774036800,Visakhapatnam,23.700000000000003,31.775000000000002,1.71,385.81199999999995,0.94,31.55,25,60,40
1774040400,Visakhapatnam,23.525,31.425,1.58,380.66400000000004,0.9,31.38,25,60,40
1774044000,Visakhapatnam,23.4,30.8,1.48,375.588,0.87,31.24,25,60,38
1774047600,Visakhapatnam,23.35,30.425,1.4,370.45199999999994,0.82,31.02,25,60,38
1774051200,Visakhapatnam,23.425,30.375,1.37,365.604,0.79,30.77,25,60,38
1774054800,Visakhapatnam,23.475,30.75,1.4,361.692,0.8,30.64,25,60,38
1774058400,Visakhapatnam,23.575,31.875,1.39,360.68399999999997,0.85,30.73,25,60,40
1774062000,Visakhapatnam,23.55,32.525,1.15,357.432,0.93,32.19,25,60,40
1774065600,Visakhapatnam,19.95,27.325,0.97,320.556,1.45,36.75,25,60,37
1774069200,Visakhapatnam,19.7,27.0,0.79,308.36400000000003,1.46,40.23,25,60,40
1774072800,Visakhapatnam,20.125,27.549999999999997,0.61,299.556,1.39,42.95,25,60,43
1774076400,Visakhapatnam,20.325,27.65,0.4,288.53999999999996,1.08,44.53,25,60,45
1774080000,Visakhapatnam,20.375,27.7,0.34,279.78,0.91,43.97,25,60,44
1774083600,Visakhapatnam,19.7,27.05,0.37,273.288,0.85,41.82,25,60,42
1774087200,Visakhapatnam,18.875,26.0,0.49,269.592,0.85,39.64,25,60,40
1774090800,Visakhapatnam,18.075,25.075000000000003,0.67,267.36,0.89,37.46,25,60,37
1774094400,Visakhapatnam,17.275,24.2,0.86,265.62,0.9,35.52,25,60,36
1774098000,Visakhapatnam,16.575,23.6,0.96,264.57599999999996,0.88,34.07,25,60,34
1774101600,Visakhapatnam,16.125,23.5,0.96,263.412,0.85,32.86,25,60,33
1774105200,Visakhapatnam,15.95,23.65,0.93,262.656,0.8,32.07,25,60,32
1774108800,Visakhapatnam,15.95,23.95,0.92,262.416,0.71,31.4,25,60,31
1774112400,Visakhapatnam,16.175,24.475,0.97,265.104,0.64,30.75,25,60,31
1774116000,Visakhapatnam,16.325,24.65,1.03,266.664,0.62,30.29,25,60,30
1774119600,Visakhapatnam,16.275,24.375,1.02,264.61199999999997,0.62,30.01,25,60,30
1774123200,Visakhapatnam,16.25,24.125,0.94,262.88399999999996,0.59,29.96,25,60,30
1774126800,Visakhapatnam,16.25,23.75,0.85,261.864,0.54,30.18,25,60,30
1774130400,Visakhapatnam,16.375,23.525,0.81,262.164,0.51,30.48,25,60,30
1774134000,Visakhapatnam,16.7,23.725,0.83,263.652,0.51,30.78,25,60,31
1774137600,Visakhapatnam,17.125,24.25,0.9,266.4,0.53,30.95,25,60,31
1774141200,Visakhapatnam,17.675,25.025,1.03,271.284,0.59,30.88,25,60,31
1774144800,Visakhapatnam,18.275,26.15,1.06,278.988,0.64,30.96,25,60,31
1774148400,Visakhapatnam,18.65,26.675,0.85,283.608,0.71,32.11,25,60,32
1774152000,Visakhapatnam,17.85,24.375,0.72,264.68399999999997,1.08,36.83,25,60,37
1774155600,Visakhapatnam,18.825,25.0,0.54,262.248,1.04,41.68,25,60,42
1774159200,Visakhapatnam,20.025,25.975,0.38,261.71999999999997,0.95,45.09,25,60,45
1774162800,Visakhapatnam,21.325000000000003,27.150000000000002,0.29,261.64799999999997,0.85,47.62,25,60,48
1774166400,Visakhapatnam,22.4,28.174999999999997,0.26,260.652,0.78,48.85,25,60,49
1774170000,Visakhapatnam,22.95,28.700000000000003,0.27,260.20799999999997,0.76,49.01,25,60,49
1774173600,Visakhapatnam,23.049999999999997,28.9,0.35,261.12,0.79,48.33,25,60,48
1774177200,Visakhapatnam,22.424999999999997,28.575,0.47,262.416,0.84,46.25,25,60,46
1774180800,Visakhapatnam,21.875,28.45,0.64,263.364,0.87,44.25,25,60,44
1774184400,Visakhapatnam,21.775,28.925,0.8,265.14,0.85,42.5,25,60,42
1774188000,Visakhapatnam,22.025,29.650000000000002,0.86,267.756,0.8,41.37,25,60,41
1774191600,Visakhapatnam,22.3,30.2,0.87,269.592,0.76,40.87,25,60,41
1774195200,Visakhapatnam,22.625,30.5,0.89,271.02,0.69,40.58,25,60,41
1774198800,Visakhapatnam,23.200000000000003,31.45,0.99,275.03999999999996,0.66,40.02,25,60,40
1774202400,Visakhapatnam,23.674999999999997,32.175,1.11,278.21999999999997,0.67,39.52,25,60,40
1774206000,Visakhapatnam,23.975,32.575,1.22,279.67199999999997,0.73,38.74,25,60,40
1774209600,Visakhapatnam,24.424999999999997,33.3,1.34,282.61199999999997,0.84,37.67,25,60,40
1774213200,Visakhapatnam,24.950000000000003,33.75,1.47,285.552,0.98,36.74,25,60,42
1774216800,Visakhapatnam,25.625,34.3,1.65,289.548,1.18,36.08,25,60,43
1774220400,Visakhapatnam,26.425,34.95,1.83,293.18399999999997,1.37,35.82,25,60,43
